Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Haiti,HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Honduras,HND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,"Hong Kong SAR, China",HKG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.005,3146.286,4917.447,4613.086,5086.129,4587.417,4697.427,4576.416,2922.599,4224.384,4220.717,4462.739,3854.017,4576.416,5177.804,6483.256,5273.146,4888.111,4759.766,4649.756,6087.22,6241.234,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Hungary,HUN,1012.092,927.751,957.087,1349.456,1719.823,2343.213,3201.291,4136.376,5331.818,6373.246,6270.57,7000.303,7656.696,9050.156,9578.204,11041.337,13527.563,14194.957,15511.41,16622.511,17916.962,18342.334,19116.071,18606.358,19163.742,18195.654,19303.088,19163.742,18965.724,19310.422,20414.189,20241.84,17795.951,19149.074,19339.758,21011.91,23446.798,22236.688,22390.702,22684.062,22115.677,24532.23,24759.584,27223.808,26824.105,27700.518,26241.052,24517.562,24187.532,20960.572,22482.377,21422.614,19185.744,17645.604,15991.787,17154.226,18386.338,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Iceland,ISL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,India,IND,0,3.667,11.001,11.001,22.002,282.359,311.695,487.711,751.735,997.424,924.084,1085.432,1206.443,1169.773,1360.457,1734.491,2295.542,2482.559,2742.916,3032.609,2489.893,2885.929,4363.73,5247.477,6175.228,7205.655,10318.938,12786.829,15218.05,18533.018,21114.586,23582.477,27278.813,27018.456,29024.305,39082.886,39779.616,46061.187,47634.33,42350.183,43908.658,43604.297,47172.288,50028.881,49625.511,50479.922,49482.498,52738.794,63098.069,91245.961,100318.119,91443.979,78151.104,101883.928,92694.426,98994.332,95829.711,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Indonesia,IDN,4671.758,4932.115,5196.139,5375.822,5247.477,6061.551,6076.219,6127.557,6314.574,5001.788,2302.876,2713.58,1998.515,3146.286,3274.631,5111.798,5647.18,6629.936,7876.716,7389.005,12174.44,13410.219,15529.745,13659.575,24407.552,27095.463,22885.747,27033.124,23391.793,24975.937,44099.342,43530.957,52416.098,57707.579,60358.82,64627.208,79056.853,82107.797,48067.036,83721.277,48631.754,61213.231,59812.437,62713.034,61935.63,54495.287,57472.891,57124.526,60362.487,64594.205,73791.041,81620.086,80127.617,64806.891,62467.345,94329.908,91260.629,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,"Iran, Islamic Rep.",IRN,1840.834,1903.173,2038.852,2207.534,2310.21,2379.883,2684.244,2841.925,3039.943,9028.154,20575.537,18041.64,17480.589,19204.079,24194.866,22907.749,22852.744,20461.86,18848.38,24070.188,13292.875,12152.438,12636.482,16046.792,25159.287,27414.492,28565.93,30626.784,38426.493,42625.208,40047.307,49658.514,52691.123,60740.188,73347.334,81642.088,81312.058,90989.271,98733.975,114381.064,120545.291,127758.28,143933.417,158597.75,179044.942,200324.543,221721.488,236712.184,247078.793,261277.417,277448.887,293503.013,292512.923,295175.165,335281.144,357063.124,381015.968,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Iraq,IRQ,1158.772,1224.778,1239.446,1393.46,1459.466,953.42,1041.428,891.081,931.418,1463.133,1507.137,1778.495,1796.83,2324.878,1554.808,2497.227,3465.315,2266.206,2346.88,3366.306,2464.224,656.393,667.394,656.393,924.084,1540.14,575.719,1921.508,2896.93,2482.559,3692.669,3531.321,4360.063,4899.112,6090.887,6090.887,6226.566,5859.866,5518.835,5947.874,5892.869,5163.136,4301.391,2918.932,1870.17,12449.465,11969.088,12038.761,15262.054,16714.186,14829.348,13919.932,13164.53,13069.188,12643.816,12995.848,14297.633,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Ireland,IRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.335,1056.096,1686.82,2570.567,3795.345,4066.703,4312.392,4459.072,3113.283,3083.947,3725.672,4202.382,4290.39,4396.733,4349.062,4939.449,5023.79,5346.486,6072.552,6347.577,6417.25,6864.624,7869.382,8206.746,8426.766,8364.427,8349.759,7946.389,9013.486,9706.549,10315.271,9754.22,10744.31,9453.526,9211.504,8800.8,8525.775,8595.448,9713.883,..,..,..,..,..
