Country,Lat,Long,Country Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Burkina Faso,12.238333,-1.561593,BFA,CO2 emissions (kt),500,510,520,530,540,570,630,690,760,890,940,970,959.999978542328,1039.99996185303,1059.99994277954,1059.99994277954,1240.00000953674,1409.9999666214,1700.00004768372,1730.00001907349,2289.99996185303,2460.00003814697,2940.00005722046,3130.00011444092,3180.0000667572,3700.00004768372,3700.00004768372,4269.99998092651,4670.00007629395,5000
Bangladesh,23.684994,90.356331,BGD,CO2 emissions (kt),11520,10830,11820,12570,13540,16550,16830,18970,19250,20110,21650,25780,27430.0003051758,28629.9991607666,30530.0006866455,32709.9990844727,35900.0015258789,37990.0016784668,41580.0018310547,44750,50580.0018310547,54419.9981689453,57990.0016784668,60599.9984741211,63830.0018310547,72190.0024414063,74379.997253418,79339.9963378906,83449.9969482422,90739.9978637695
Bulgaria,42.733883,25.48583,BGR,CO2 emissions (kt),73610,58830,55360,55930,53720,54880,55300,52990,50480,44320,43420,46190,43599.9984741211,47930.0003051758,47270.0004577637,47990.0016784668,48950.0007629395,52599.9984741211,50040.0009155273,42909.9998474121,44740.0016784668,49639.9993896484,45020.0004577637,39659.9998474121,42049.9992370605,44560.001373291,41590.0001525879,43880.0010681152,40900.0015258789,39139.9993896484
Bahrain,25.930414,50.637772,BHR,CO2 emissions (kt),10740,10350,12270,13070,13370,13540,14150,14420,15490,15450,15880,16390,17219.9993133545,17940.0005340576,17930.0003051758,20690.0005340576,22489.9997711182,23000,24760.0002288818,24719.9993133545,25969.9993133545,26020.0004577637,27170.0000762939,28850.0003814697,30280.0006866455,30579.9999237061,30299.9992370605,30520.0004577637,30809.9994659424,33259.9983215332
Bahamas,25.03428,-77.39628,BHS,CO2 emissions (kt),1960,2040,2570,2090,2070,2200,2070,1870,2360,2320,2230,2220,2400.00009536743,2380.00011444092,2250,2109.99989509583,2099.99990463257,2119.99988555908,2200.00004768372,6170.00007629395,2079.99992370605,2569.9999332428,3549.99995231628,2809.99994277954,2519.99998092651,2210.00003814697,2039.99996185303,2170.00007629395,2799.99995231628,2839.99991416931
Bosnia and Herzegovina,43.915886,17.679076,BIH,CO2 emissions (kt),23970,21440,15970,13400,3160,3370,4190,8490,10760,10520,13960,13760,14560.0004196167,14869.9998855591,15569.9996948242,16229.9995422363,17909.9998474121,18889.9993896484,20760.0002288818,20590.0001525879,20840.0001525879,23739.9997711182,21959.9990844727,21850.0003814697,19489.9997711182,19620.0008392334,22340.0001525879,22680.0003051758,22600.0003814697,21069.9996948242
Belarus,53.709807,27.953389,BLR,CO2 emissions (kt),99830,96220,87990,76420,64810,57640,58650,59170,57260,54950,52940,51880,51840.0001525879,52700.0007629395,56040.0009155273,56779.9987792969,59119.9989318848,57650.0015258789,60529.9987792969,57400.0015258789,61669.9981689453,58549.9992370605,59939.998626709,59990.0016784668,59500,54819.9996948242,55139.9993896484,56009.9983215332,58950.0007629395,57669.9981689453
Belize,17.189877,-88.49765,BLZ,CO2 emissions (kt),330,430,500,470,450,460,360,460,450,410,450,530,519.999980926514,509.999990463257,439.999997615814,469.999998807907,509.999990463257,529.999971389771,500,1460.00003814697,560.000002384186,670.000016689301,670.000016689301,460.00000834465,479.999989271164,680.000007152557,649.999976158142,639.999985694885,629.999995231628,639.999985694885
Bermuda,32.321384,-64.75737,BMU,CO2 emissions (kt),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bolivia,-16.290154,-63.588653,BOL,CO2 emissions (kt),10410,10870,11150,10200,9520,8580,8290,9120,8670,8220,8210,8050,8300.00019073486,9079.99992370605,9489.99977111816,10050.0001907349,11229.9995422363,12079.9999237061,13109.9996566772,14000,15170.0000762939,16610.0006103516,17420.0000762939,18739.9997711182,20409.9998474121,20760.0002288818,22010.0002288818,22750,23229.9995422363,22340.0001525879
Brazil,-14.235004,-51.92528,BRA,CO2 emissions (kt),197900,205480,207870,215260,222500,241280,262410,281330,290590,300960,313670,319380,317760.009765625,310809.997558594,328519.989013672,331690.002441406,335619.995117188,352559.997558594,373630.004882813,350000,397929.992675781,418309.997558594,454230.010986328,486839.996337891,511619.995117188,485339.996337891,447079.986572266,456489.990234375,433989.990234375,434299.987792969
Barbados,13.193887,-59.543198,BRB,CO2 emissions (kt),980,980,1180,1000,1030,1070,1060,1160,1270,1300,1240,1310,1370.00000476837,1379.99999523163,1360.00001430511,1419.99995708466,1470.00002861023,1480.00001907349,1779.99997138977,4619.99988555908,1549.99995231628,1759.99999046326,2119.99988555908,1440.00005722046,1269.99998092651,1269.99998092651,1289.99996185303,1179.99994754791,1240.00000953674,1250
Brunei,4.535277,114.727669,BRN,CO2 emissions (kt),3260,3380,3590,3930,4270,4600,4830,5230,4520,4430,4720,4710,4619.99988555908,5519.99998092651,5099.99990463257,4989.99977111816,7519.99998092651,7139.9998664856,7909.99984741211,7869.99988555908,7170.00007629395,7329.99992370605,7300.00019073486,7210.00003814697,7079.99992370605,6400.00009536743,6969.99979019165,7289.99996185303,7539.99996185303,6989.99977111816
Bhutan,27.514162,90.433601,BTN,CO2 emissions (kt),80,130,120,130,140,160,200,190,200,200,210,230,239.999994635582,259.999990463257,289.99999165535,319.999992847443,319.999992847443,319.999992847443,300.000011920929,319.999992847443,400.000005960464,589.999973773956,639.999985694885,670.000016689301,699.999988079071,769.999980926514,930.000007152557,970.000028610229,1049.99995231628,1049.99995231628
